Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,Nuclei Border - Nuclei,Nuclei Border - Nucleus Area [µm²],Nuclei Border - Nucleus Roundness,Nuclei Border - Nucleus Width [µm],Nuclei Border - Nucleus Length [µm],Nuclei Border - Nucleus Ratio Width to Length,Unnamed: 20,Group
2,2,0,1,38,207,621,"[171,574,241,654]",-60.75,-14.08,,,,,1,41.4954,0.919221,5.82802,8.56184,0.680697,,Ad
2,2,0,1,39,207,677,"[118,626,262,717]",-63.65,-23.76,,,,,1,62.8899,0.888049,6.02943,12.5996,0.478541,,Ad
2,2,0,1,40,743,668,"[664,581,868,755]",39.75,-22.77,,,,,1,106.342,0.64718,4.73527,21.1391,0.224005,,Ad
2,2,0,1,41,876,726,"[833,622,932,811]",60.89,-32.65,,,,,1,55.8247,0.834669,5.07343,13.3388,0.380353,,Ad
2,2,0,1,42,981,831,"[919,727,1023,915]",78.52,-51.52,,,,,1,90.1222,0.90914,7.00651,15.2649,0.458995,,Ad
2,2,0,1,43,83,821,"[1,711,116,865]",-87.48,-45.83,,,,,1,41.8934,0.915666,5.15129,9.7501,0.528332,,Ad
2,2,0,1,44,553,843,"[482,806,589,876]",0.98,-55.17,,,,,1,47.0015,0.87924,5.66642,8.48987,0.667433,,Ad
2,2,0,1,45,175,887,"[76,814,275,955]",-66.58,-64.18,,,,,1,106.442,0.706998,7.1564,15.4249,0.463952,,Ad
2,2,0,1,46,425,922,"[347,810,489,1029]",-20.17,-68.6,,,,,1,152.481,0.493575,6.02943,20.9476,0.287834,,Ad
2,2,0,1,47,330,863,"[263,834,364,904]",-39.46,-59.27,,,,,1,42.1919,0.973976,6.36138,7.86311,0.809016,,Ad
2,2,0,1,48,798,868,"[744,829,824,893]",44.82,-59.37,,,,,1,28.9572,0.938081,5.17698,6.41589,0.8069,,Ad
2,2,0,1,49,565,914,"[481,836,719,993]",10.84,-69.39,,,,,1,59.1085,0.86303,5.87338,10.4956,0.559606,,Ad
